idsubsls;idsls;kdprov;kdkab;kdkec;kddesa;kdsls;kdsubsls;nmprov;nmkab;nmkec;nmdesa;nmsls;centroid_y;centroid_x
6.40101E+15;6.40101E+13;64;1;10;17;4;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 004;-1.83123;115.88745
6.40101E+15;6.40101E+13;64;1;10;17;5;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 005;-1.82354;115.896077
6.40101E+15;6.40101E+13;64;1;10;17;6;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 006;-1.82024;115.896238
6.40101E+15;6.40101E+13;64;1;10;17;6;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 006;-1.81533;115.892979
6.40101E+15;6.40101E+13;64;1;10;17;7;0;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 007;-1.81624;115.896791
6.40101E+15;6.40101E+13;64;1;10;17;8;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 008;-1.81725;115.889973
6.40101E+15;6.40101E+13;64;1;10;17;8;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 008;-1.81989;115.893484
6.40101E+15;6.40101E+13;64;1;10;17;9;1;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 009;-1.82222;115.889596
6.40101E+15;6.40101E+13;64;1;10;17;9;2;KALIMANTAN TIMUR;PASER;BATU SOPANG;SONGKA;RT 009;-1.82189;115.890445
6.40101E+15;6.40101E+13;64;1;11;1;1;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;TANJUNG PINANG;RT 001;-2.15821;115.92695
6.40101E+15;6.40101E+13;64;1;11;1;2;1;KALIMANTAN TIMUR;PASER;MUARA SAMU;TANJUNG PINANG;RT 002;-2.22058;115.873675
6.40101E+15;6.40101E+13;64;1;11;1;2;2;KALIMANTAN TIMUR;PASER;MUARA SAMU;TANJUNG PINANG;RT 002;-2.19878;115.951957
6.40101E+15;6.40101E+13;64;1;11;2;1;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;RANTAU ATAS;RT 001;-2.18033;115.858956
